CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_log,PURCHASES_log,CASH_ADVANCE_log,activity,transactions_per_month,payment_ratio,payment_vs_spend,utilization,cash_ratio,oneoff_ratio,installment_ratio,cluster_3,pca1,pca2,profitability_score,profitability_category,segment
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,3.735303702663308,4.5685062016165,0.0,0.0833335,0.16666666666666666,0.0,2.0933826141078837,0.04085988911088911,0.0,0.0,0.4882292732855681,1,-0.7376830678547512,-2.2271949291353836,0.2306951884615385,Låg lönsamhet,Mönstermedborgare
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,8.07198906965229,0.0,8.77089628414314,0.125,0.3333333333333333,0.222222,0.6367267705514199,0.45742999800028566,5.0,0.0,0.0,0,3.071991443446508,-0.3238713973995055,49.22892874877558,Hög lönsamhet,Becknare
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,7.82250436793527,6.651791487715673,0.0,0.5,1.0,0.0,0.8035273157058528,0.33264216264498064,0.0,0.8854747643643277,0.0,2,-0.784701442091362,1.1056839177875855,10.191472546153847,Medel lönsamhet,Stureplan
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,0.0,0.0,12,7.419183046623112,7.313220387090301,5.331694196081131,0.083333,0.16666666666666666,0.0,0.0,0.2221931131849087,0.1286979468417761,0.9374609130706691,0.0,2,0.1974309336710103,0.4557488730737308,8.829736035384617,Medel lönsamhet,Stureplan
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,6.70773522569534,2.833213344056216,0.0,0.0416665,0.08333333333333333,0.0,5.0,0.680861228143214,0.0,0.13793103448275862,0.0,0,0.9783620183000264,-2.0465303921018267,3.1573628269230767,Medel lönsamhet,Becknare
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,7.5015398929484585,7.1961470995031585,0.0,0.3333335,0.6666666666666666,0.0,1.049298325688761,1.0049021382565242,0.0,0.0,0.9302299620450993,2,-0.583598115341147,0.6856858449534878,7.986479811538462,Medel lönsamhet,Stureplan
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,6.442955376434953,8.866724077232586,0.0,0.5,5.333333333333333,1.0,0.89598214441322,0.046460321902081325,0.0,0.8903658874066369,0.09572786020322598,1,-2.943215318962548,1.1870641167482006,5.454623076923077,Medel lönsamhet,Mönstermedborgare
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,7.509144970103254,6.080390756302384,0.0,0.5,1.0,0.0,1.5532138197621226,0.7925479109083008,0.0,0.0,0.8135024244684819,2,-0.741475562085755,0.6970153199723721,7.349587473076923,Medel lönsamhet,Stureplan
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,6.92355625642517,6.759823554635403,0.0,0.1666665,0.4166666666666667,0.0,0.7980133891407436,0.14496878631624052,0.0,0.6879842744074302,0.2080104837283799,2,-0.7022830317773118,-0.21625496307120376,4.566247973076923,Medel lönsamhet,Stureplan
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,5.031913792542936,7.156644546714762,0.0,0.0833335,0.25,0.0,0.9081323803212226,0.01383746704845014,0.0,0.9276201505500868,0.0,1,-0.9001842097381236,-0.8247237752018663,1.571330673076923,Låg lönsamhet,Mönstermedborgare
